date_time,"chicago,il_maxtempC","chicago,il_mintempC","chicago,il_totalSnow_cm","chicago,il_sunHour","chicago,il_uvIndex","chicago,il_uvIndex","chicago,il_moon_illumination","chicago,il_moonrise","chicago,il_moonset","chicago,il_sunrise","chicago,il_sunset","chicago,il_DewPointC","chicago,il_FeelsLikeC","chicago,il_HeatIndexC","chicago,il_WindChillC","chicago,il_WindGustKmph","chicago,il_cloudcover","chicago,il_humidity","chicago,il_precipMM","chicago,il_pressure","chicago,il_tempC","chicago,il_visibility","chicago,il_winddirDegree","chicago,il_windspeedKmph"
2018-12-11 00:00:00,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-5,-7,-1,-7,33,0,76,0.0,1021,-1,10,231,22
2018-12-11 03:00:00,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-4,-6,-1,-6,33,0,80,0.0,1021,-1,10,243,21
2018-12-11 06:00:00,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-5,-8,-2,-8,28,5,83,0.0,1020,-2,10,240,19
2018-12-11 09:00:00,1,-2,0.0,8.7,2,2,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-5,-6,-1,-6,23,15,77,0.0,1019,-1,10,262,16
2018-12-11 12:00:00,1,-2,0.0,8.7,2,2,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-3,-1,1,-1,8,19,71,0.0,1018,1,10,271,6
2018-12-11 15:00:00,1,-2,0.0,8.7,2,2,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-4,0,1,0,5,17,70,0.0,1018,1,10,30,4
2018-12-11 18:00:00,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-3,-3,0,-3,17,35,80,0.0,1019,-0,10,80,10
2018-12-11 21:00:00,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-3,-5,-0,-5,22,22,84,0.0,1018,-0,10,118,13
2018-12-12 00:00:00,3,-1,0.0,8.7,2,0,29,11:02 AM,09:20 PM,07:09 AM,04:20 PM,-2,-4,0,-4,25,55,83,0.0,1016,0,10,131,13
2018-12-12 03:00:00,3,-1,0.0,8.7,2,0,29,11:02 AM,09:20 PM,07:09 AM,04:20 PM,-2,-4,1,-4,36,79,82,0.0,1013,1,10,144,20
2018-12-12 06:00:00,3,-1,0.0,8.7,2,0,29,11:02 AM,09:20 PM,07:09 AM,04:20 PM,-1,-4,1,-4,44,15,87,0.0,1010,1,10,157,24
2018-12-12 09:00:00,3,-1,0.0,8.7,2,2,29,11:02 AM,09:20 PM,07:09 AM,04:20 PM,-0,-3,2,-3,40,49,87,0.0,1009,2,10,184,24
