DATE,APU0000710411
1980-01-01,1.755
1980-02-01,1.775
1980-03-01,1.718
1980-04-01,1.769
1980-05-01,1.822
1980-06-01,1.832
1980-07-01,1.831
1980-08-01,1.873
1980-09-01,1.825
1980-10-01,1.879
1980-11-01,1.878
1980-12-01,1.920
1981-01-01,1.938
1981-02-01,2.019
1981-03-01,1.992
1981-04-01,2.024
1981-05-01,2.008
1981-06-01,2.006
1981-07-01,2.024
1981-08-01,2.014
1981-09-01,2.042
1981-10-01,2.032
1981-11-01,2.028
1981-12-01,2.064
1982-01-01,2.128
1982-02-01,2.075
1982-03-01,2.061
1982-04-01,2.089
1982-05-01,2.043
1982-06-01,2.060
1982-07-01,2.092
1982-08-01,2.095
1982-09-01,2.105
1982-10-01,2.136
1982-11-01,2.187
1982-12-01,2.163
1983-01-01,2.179
1983-02-01,2.139
1983-03-01,2.091
1983-04-01,2.107
1983-05-01,2.140
1983-06-01,2.141
1983-07-01,2.122
1983-08-01,2.135
1983-09-01,2.193
1983-10-01,2.249
1983-11-01,2.214
1983-12-01,2.184
1984-01-01,2.189
1984-02-01,2.191
1984-03-01,2.171
1984-04-01,2.210
1984-05-01,2.203
1984-06-01,2.193
1984-07-01,2.212
1984-08-01,2.232
1984-09-01,2.301
1984-10-01,2.259
1984-11-01,2.223
1984-12-01,2.231
1985-01-01,2.284
1985-02-01,2.291
1985-03-01,2.290
1985-04-01,2.291
1985-05-01,2.312
1985-06-01,2.276
1985-07-01,2.293
1985-08-01,2.273
1985-09-01,2.345
1985-10-01,2.347
1985-11-01,2.290
1985-12-01,2.294
1986-01-01,2.317
1986-02-01,2.346
1986-03-01,2.331
1986-04-01,2.382
1986-05-01,2.368
1986-06-01,2.325
1986-07-01,2.369
1986-08-01,2.319
1986-09-01,2.360
1986-10-01,2.377
1986-11-01,2.397
1986-12-01,2.405
1987-01-01,.
1987-02-01,2.468
1987-03-01,2.447
1987-04-01,2.438
1987-05-01,2.481
1987-06-01,2.428
1987-07-01,2.467
1987-08-01,2.482
1987-09-01,2.470
