date_time,"los+angeles,ca_maxtempC","los+angeles,ca_mintempC","los+angeles,ca_totalSnow_cm","los+angeles,ca_sunHour","los+angeles,ca_uvIndex","los+angeles,ca_uvIndex","los+angeles,ca_moon_illumination","los+angeles,ca_moonrise","los+angeles,ca_moonset","los+angeles,ca_sunrise","los+angeles,ca_sunset","los+angeles,ca_DewPointC","los+angeles,ca_FeelsLikeC","los+angeles,ca_HeatIndexC","los+angeles,ca_WindChillC","los+angeles,ca_WindGustKmph","los+angeles,ca_cloudcover","los+angeles,ca_humidity","los+angeles,ca_precipMM","los+angeles,ca_pressure","los+angeles,ca_tempC","los+angeles,ca_visibility","los+angeles,ca_winddirDegree","los+angeles,ca_windspeedKmph"
2018-12-11 00:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,7,17,17,17,3,13,53,0.0,1018,16,10,2,2
2018-12-11 03:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,7,16,16,16,10,10,55,0.0,1017,15,10,56,6
2018-12-11 06:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,5,16,16,16,7,7,51,0.0,1018,14,10,359,5
2018-12-11 09:00:00,20,14,0.0,8.7,5,5,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,6,18,18,18,4,13,45,0.0,1018,17,10,49,4
2018-12-11 12:00:00,20,14,0.0,8.7,5,6,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,5,22,24,22,2,6,33,0.0,1017,20,10,217,1
2018-12-11 15:00:00,20,14,0.0,8.7,5,5,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,8,20,20,20,10,2,47,0.0,1017,19,10,246,9
2018-12-11 18:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,10,19,19,19,8,0,54,0.0,1019,17,10,247,7
2018-12-11 21:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,12,18,18,18,7,0,68,0.0,1019,16,10,125,6
2018-12-12 00:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,14,20,20,20,3,1,70,0.0,1019,15,10,224,3
2018-12-12 03:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,10,15,15,15,7,9,69,0.0,1019,14,10,106,5
2018-12-12 06:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,9,15,15,15,4,18,71,0.0,1019,14,10,138,3
2018-12-12 09:00:00,19,14,0.0,8.7,5,5,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,10,16,16,16,11,14,67,0.0,1020,16,10,122,9
2018-12-12 12:00:00,19,14,0.0,8.7,5,5,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,9,20,20,20,10,4,49,0.0,1020,19,10,178,9
2018-12-12 15:00:00,19,14,0.0,8.7,5,5,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,12,20,20,20,9,0,63,0.0,1020,17,10,174,8
2018-12-12 18:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,13,19,19,19,5,0,66,0.0,1022,16,10,209,4
2018-12-12 21:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,11,18,18,18,3,0,61,0.0,1023,15,10,2,3
2018-12-13 00:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,4,17,17,17,9,4,42,0.0,1023,15,10,339,6
2018-12-13 03:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,1,16,16,16,13,4,35,0.0,1023,15,10,39,8
2018-12-13 06:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,-2,16,16,16,15,3,28,0.0,1025,15,10,13,8
