date_time,"new+york,ny_maxtempC","new+york,ny_mintempC","new+york,ny_totalSnow_cm","new+york,ny_sunHour","new+york,ny_uvIndex","new+york,ny_uvIndex","new+york,ny_moon_illumination","new+york,ny_moonrise","new+york,ny_moonset","new+york,ny_sunrise","new+york,ny_sunset","new+york,ny_DewPointC","new+york,ny_FeelsLikeC","new+york,ny_HeatIndexC","new+york,ny_WindChillC","new+york,ny_WindGustKmph","new+york,ny_cloudcover","new+york,ny_humidity","new+york,ny_precipMM","new+york,ny_pressure","new+york,ny_tempC","new+york,ny_visibility","new+york,ny_winddirDegree","new+york,ny_windspeedKmph"
2018-12-11 00:00:00,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-5,0,3,0,12,0,56,0.0,1023,0,10,20,10
2018-12-11 03:00:00,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-4,1,4,1,9,0,56,0.0,1022,-0,10,17,8
2018-12-11 06:00:00,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-4,0,3,0,9,0,63,0.0,1022,-1,10,35,8
2018-12-11 09:00:00,4,-1,0.0,8.7,2,2,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-3,4,5,4,6,2,56,0.0,1021,1,10,41,5
2018-12-11 12:00:00,4,-1,0.0,8.7,2,2,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-3,4,5,4,7,6,55,0.0,1018,3,10,242,6
2018-12-11 15:00:00,4,-1,0.0,8.7,2,2,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-2,5,6,5,10,0,54,0.0,1016,4,10,227,9
2018-12-11 18:00:00,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-4,1,4,1,14,0,56,0.0,1016,2,10,259,12
2018-12-11 21:00:00,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-5,-4,1,-4,30,9,61,0.0,1016,1,10,309,21
2018-12-12 00:00:00,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-5,-3,1,-3,20,45,62,0.0,1015,1,10,306,15
2018-12-12 03:00:00,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-4,-4,1,-4,28,23,69,0.0,1017,1,10,307,20
2018-12-12 06:00:00,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-4,-3,1,-3,25,7,69,0.0,1019,1,10,291,17
2018-12-12 09:00:00,4,1,0.0,8.7,2,2,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-5,-2,3,-2,25,0,57,0.0,1020,3,10,309,19
2018-12-12 12:00:00,4,1,0.0,8.7,2,2,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-5,1,5,1,16,18,51,0.0,1020,4,10,300,14
2018-12-12 15:00:00,4,1,0.0,8.7,2,2,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-4,2,5,2,14,23,52,0.0,1022,4,10,295,11
2018-12-12 18:00:00,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-3,3,4,3,6,7,59,0.0,1023,3,10,318,5
2018-12-12 21:00:00,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-4,1,3,1,7,18,60,0.0,1025,2,10,71,5
2018-12-13 00:00:00,5,1,0.0,3.4,1,0,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,-4,-0,3,-0,13,100,61,0.0,1026,2,10,89,9
2018-12-13 03:00:00,5,1,0.0,3.4,1,0,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,-4,-2,2,-2,26,55,64,0.0,1027,2,10,94,18
2018-12-13 06:00:00,5,1,0.0,3.4,1,0,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,-4,-3,1,-3,21,100,67,0.0,1029,1,10,79,15
2018-12-13 09:00:00,5,1,0.0,3.4,1,1,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,-1,-1,3,-1,23,100,72,0.1,1030,3,10,99,17
2018-12-13 12:00:00,5,1,0.0,3.4,1,1,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,0,2,4,2,9,100,77,0.0,1030,3,10,72,7
2018-12-13 15:00:00,5,1,0.0,3.4,1,1,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,1,2,5,2,17,97,80,0.1,1031,4,10,73,12
2018-12-13 18:00:00,5,1,0.0,3.4,1,0,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,2,2,4,2,15,79,84,0.0,1032,4,10,59,10
2018-12-13 21:00:00,5,1,0.0,3.4,1,0,36,11:36 AM,10:23 PM,07:12 AM,04:29 PM,3,2,5,2,18,98,87,0.0,1032,5,10,91,12
2018-12-14 00:00:00,8,5,0.0,3.4,2,0,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,3,2,5,2,16,93,85,0.0,1033,5,10,71,11
2018-12-14 03:00:00,8,5,0.0,3.4,2,0,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,4,3,6,3,21,92,88,0.1,1032,5,10,96,14
2018-12-14 06:00:00,8,5,0.0,3.4,2,0,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,4,4,6,4,16,98,91,0.0,1032,6,10,109,10
2018-12-14 09:00:00,8,5,0.0,3.4,2,2,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,5,5,7,5,19,98,88,0.1,1031,7,10,122,12
2018-12-14 12:00:00,8,5,0.0,3.4,2,2,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,6,7,8,7,10,100,84,0.0,1029,8,10,114,7
2018-12-14 15:00:00,8,5,0.0,3.4,2,2,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,7,7,8,7,12,88,89,0.0,1028,8,10,139,8
2018-12-14 18:00:00,8,5,0.0,3.4,2,0,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,8,7,8,7,10,100,96,0.0,1027,8,2,155,6
2018-12-14 21:00:00,8,5,0.0,3.4,2,0,43,12:05 PM,11:21 PM,07:12 AM,04:29 PM,8,6,8,6,17,100,97,0.8,1025,8,9,187,9
2018-12-15 00:00:00,9,8,0.0,3.4,2,0,51,12:32 PM,No moonset,07:13 AM,04:29 PM,8,8,8,8,6,100,97,0.0,1024,8,2,317,4
2018-12-15 03:00:00,9,8,0.0,3.4,2,0,51,12:32 PM,No moonset,07:13 AM,04:29 PM,8,8,8,8,6,100,97,2.0,1023,8,9,24,4
2018-12-15 06:00:00,9,8,0.0,3.4,2,0,51,12:32 PM,No moonset,07:13 AM,04:29 PM,8,7,8,7,12,100,96,0.0,1022,8,2,42,6
2018-12-15 09:00:00,9,8,0.0,3.4,2,2,51,12:32 PM,No moonset,07:13 AM,04:29 PM,8,6,8,6,20,100,96,0.1,1021,8,2,16,11
2018-12-15 12:00:00,9,8,0.0,3.4,2,2,51,12:32 PM,No moonset,07:13 AM,04:29 PM,7,8,9,8,16,100,88,0.0,1020,9,10,31,11
2018-12-15 15:00:00,9,8,0.0,3.4,2,2,51,12:32 PM,No moonset,07:13 AM,04:29 PM,6,7,9,7,26,70,80,0.0,1019,9,10,32,16
2018-12-15 18:00:00,9,8,0.0,3.4,2,0,51,12:32 PM,No moonset,07:13 AM,04:29 PM,4,6,9,6,29,100,73,0.0,1020,9,10,40,17
2018-12-15 21:00:00,9,8,0.0,3.4,2,0,51,12:32 PM,No moonset,07:13 AM,04:29 PM,4,5,8,5,32,44,73,0.1,1020,8,10,61,20
2018-12-16 00:00:00,7,4,0.0,3.4,2,0,58,12:59 PM,12:20 AM,07:14 AM,04:30 PM,2,3,7,3,38,100,72,0.0,1018,7,10,54,27
2018-12-16 03:00:00,7,4,0.0,3.4,2,0,58,12:59 PM,12:20 AM,07:14 AM,04:30 PM,2,1,6,1,42,100,79,5.6,1017,6,7,60,30
2018-12-16 06:00:00,7,4,0.0,3.4,2,0,58,12:59 PM,12:20 AM,07:14 AM,04:30 PM,2,0,5,0,36,100,80,0.0,1017,5,10,58,27
2018-12-16 09:00:00,7,4,0.0,3.4,2,2,58,12:59 PM,12:20 AM,07:14 AM,04:30 PM,2,0,5,0,47,100,82,2.0,1015,5,9,58,33
