location,protecting_minority_investors_rank,protecting_minority_investors_score,strength_of_minority_investor_protection_index_(0-50),extent_of_disclosure_index_(0-10),extent_of_director_liability_index_(0-10),ease_of_shareholder_suits_index_(0-10),extent_of_shareholder_rights_index_(0-6),extent_of_ownership_and_control_index_(0-7),extent_of_corporate_transparency_index_(0-7),starting_a_business_score
Afghanistan,140,36.0,18,8.0,1.0,9.0,0.0,0.0,0.0,92
Albania,111,46.0,23,9.0,7.0,7.0,0.0,0.0,0.0,91.8
Algeria,179,20.0,10,4.0,1.0,5.0,0.0,0.0,0.0,78
Angola,147,32.0,16,4.0,6.0,6.0,0.0,0.0,0.0,79.4
Antigua and Barbuda,79,58.0,29,4.0,8.0,8.0,3.0,4.0,2.0,82.6
Argentina,61,62.0,31,7.0,2.0,6.0,6.0,5.0,5.0,80.4
Armenia,120,42.0,21,7.0,6.0,8.0,0.0,0.0,0.0,96.1
Australia,57,64.0,32,8.0,2.0,8.0,4.0,3.0,7.0,96.6
Austria,37,70.0,35,5.0,5.0,7.0,5.0,7.0,6.0,83.2
Azerbaijan,105,50.0,25,10.0,7.0,8.0,0.0,0.0,0.0,96.2
"Bahamas, The",88,56.0,28,3.0,5.0,8.0,5.0,4.0,3.0,87
Bahrain,51,66.0,33,8.0,4.0,5.0,5.0,7.0,4.0,89.6
Bangladesh,72,60.0,30,6.0,7.0,7.0,4.0,3.0,3.0,82.4
Barbados,136,38.0,19,2.0,2.0,7.0,3.0,1.0,4.0,86.4
Belarus,79,58.0,29,6.0,2.0,8.0,3.0,5.0,5.0,93.5
Belgium,45,68.0,34,8.0,6.0,7.0,4.0,3.0,6.0,92.3
Belize,157,28.0,14,3.0,4.0,7.0,0.0,0.0,0.0,72
Benin,120,42.0,21,7.0,1.0,5.0,4.0,2.0,2.0,90.6
Bhutan,111,46.0,23,4.0,4.0,6.0,3.0,3.0,3.0,86.4
Bolivia,136,38.0,19,1.0,5.0,6.0,4.0,1.0,2.0,69.4
Bosnia and Herzegovina,88,56.0,28,3.0,6.0,5.0,4.0,5.0,5.0,60
Botswana,72,60.0,30,7.0,8.0,3.0,4.0,3.0,5.0,76.2
Brazil,61,62.0,31,5.0,8.0,4.0,4.0,4.0,6.0,81.3
Brunei Darussalam,128,40.0,20,4.0,8.0,8.0,0.0,0.0,0.0,94.9
Bulgaria,25,74.0,37,10.0,2.0,8.0,6.0,4.0,7.0,85.4
Burkina Faso,120,42.0,21,7.0,1.0,5.0,4.0,2.0,2.0,88.2
Burundi,143,34.0,17,8.0,7.0,2.0,0.0,0.0,0.0,92.9
Cabo Verde,170,24.0,12,1.0,5.0,6.0,0.0,0.0,0.0,84.5
Cambodia,128,40.0,20,6.0,10.0,4.0,0.0,0.0,0.0,52.4
Cameroon,157,28.0,14,7.0,1.0,6.0,0.0,0.0,0.0,86.3
Canada,7,84.0,42,8.0,9.0,9.0,4.0,6.0,6.0,98.2
Central African Republic,162,26.0,13,7.0,1.0,5.0,0.0,0.0,0.0,63.2
Chad,170,24.0,12,7.0,1.0,4.0,0.0,0.0,0.0,52.5
Chile,51,66.0,33,8.0,6.0,7.0,6.0,4.0,2.0,91.4
China,28,72.0,36,10.0,4.0,5.0,5.0,6.0,6.0,94.1
Colombia,13,80.0,40,9.0,7.0,8.0,4.0,7.0,5.0,87
Comoros,162,26.0,13,7.0,1.0,5.0,0.0,0.0,0.0,76.5
"Congo, Dem. Rep.",176,22.0,11,7.0,1.0,3.0,0.0,0.0,0.0,91.6
"Congo, Rep.",162,26.0,13,7.0,1.0,5.0,0.0,0.0,0.0,65.8
Costa Rica,110,48.0,24,5.0,5.0,8.0,2.0,3.0,1.0,79.9
Côte d'Ivoire,120,42.0,21,7.0,1.0,5.0,4.0,2.0,2.0,93.7
Croatia,37,70.0,35,5.0,6.0,6.0,6.0,7.0,5.0,85.3
Cyprus,21,76.0,38,9.0,4.0,7.0,6.0,5.0,7.0,92
Czech Republic,61,62.0,31,2.0,6.0,9.0,5.0,5.0,4.0,82.1
Denmark,28,72.0,36,7.0,5.0,8.0,5.0,5.0,6.0,92.7
Djibouti,103,52.0,26,8.0,8.0,10.0,0.0,0.0,0.0,84.3
Dominica,79,58.0,29,4.0,8.0,8.0,3.0,4.0,2.0,89.3
Dominican Republic,143,34.0,17,5.0,4.0,8.0,0.0,0.0,0.0,85.4
Ecuador,114,44.0,22,2.0,5.0,6.0,5.0,3.0,1.0,69.1
"Egypt, Arab Rep.",57,64.0,32,8.0,3.0,3.0,6.0,6.0,6.0,87.8
El Salvador,140,36.0,18,3.0,0.0,7.0,4.0,1.0,3.0,78.6
Equatorial Guinea,162,26.0,13,7.0,1.0,5.0,0.0,0.0,0.0,61
Eritrea,185,16.0,8,3.0,0.0,5.0,0.0,0.0,0.0,52.9
Estonia,79,58.0,29,8.0,3.0,6.0,5.0,2.0,5.0,95.4
Eswatini,162,26.0,13,2.0,5.0,6.0,0.0,0.0,0.0,77.2
Ethiopia,189,10.0,5,3.0,0.0,2.0,0.0,0.0,0.0,71.7
Fiji,97,54.0,27,2.0,8.0,7.0,4.0,3.0,3.0,73.6
Finland,61,62.0,31,6.0,4.0,8.0,5.0,2.0,6.0,93.5
France,45,68.0,34,8.0,3.0,6.0,4.0,6.0,7.0,93.1
Gabon,170,24.0,12,7.0,1.0,4.0,0.0,0.0,0.0,87
"Gambia, The",170,24.0,12,2.0,5.0,5.0,0.0,0.0,0.0,84.6
Georgia,7,84.0,42,9.0,6.0,9.0,5.0,7.0,6.0,99.6
Germany,61,62.0,31,5.0,5.0,5.0,5.0,5.0,6.0,83.7
Ghana,72,60.0,30,7.0,5.0,7.0,5.0,3.0,3.0,85
Greece,37,70.0,35,9.0,4.0,5.0,5.0,6.0,6.0,96
Grenada,105,50.0,25,4.0,8.0,8.0,2.0,2.0,1.0,88
Guatemala,153,30.0,15,3.0,2.0,5.0,3.0,1.0,1.0,86.8
Guinea,162,26.0,13,7.0,1.0,5.0,0.0,0.0,0.0,84.5
Guinea-Bissau,114,44.0,22,7.0,1.0,6.0,4.0,2.0,2.0,75.5
Guyana,88,56.0,28,5.0,5.0,8.0,4.0,2.0,4.0,85.6
Haiti,183,18.0,9,2.0,3.0,4.0,0.0,0.0,0.0,36.4
Honduras,120,42.0,21,3.0,8.0,6.0,3.0,1.0,0.0,71.4
"Hong Kong SAR, China",7,84.0,42,10.0,8.0,9.0,5.0,5.0,5.0,98.2
Hungary,97,54.0,27,2.0,4.0,7.0,4.0,5.0,5.0,88.2
Iceland,28,72.0,36,7.0,5.0,8.0,5.0,5.0,6.0,90.6
India,13,80.0,40,8.0,7.0,7.0,6.0,6.0,6.0,81.6
Indonesia,37,70.0,35,10.0,5.0,2.0,5.0,6.0,7.0,81.2
"Iran, Islamic Rep.",128,40.0,20,7.0,4.0,1.0,3.0,3.0,2.0,67.8
Iraq,111,46.0,23,4.0,5.0,5.0,5.0,3.0,1.0,77.3
Ireland,13,80.0,40,9.0,8.0,9.0,5.0,3.0,6.0,94.4
Israel,18,78.0,39,7.0,9.0,9.0,4.0,4.0,6.0,94.1
Italy,51,66.0,33,7.0,4.0,6.0,5.0,4.0,7.0,86.8
Jamaica,61,62.0,31,4.0,8.0,5.0,5.0,4.0,5.0,97.4
Japan,57,64.0,32,7.0,6.0,8.0,4.0,2.0,5.0,86.1
Jordan,105,50.0,25,4.0,4.0,3.0,2.0,6.0,6.0,84.5
Kazakhstan,7,84.0,42,9.0,6.0,9.0,6.0,6.0,6.0,94.4
Kenya,1,92.0,46,10.0,10.0,9.0,6.0,6.0,5.0,82.7
Kiribati,136,38.0,19,6.0,5.0,8.0,0.0,0.0,0.0,78.4
"Korea, Rep.",25,74.0,37,8.0,6.0,8.0,4.0,5.0,6.0,93.4
Kosovo,128,40.0,20,9.0,6.0,5.0,0.0,0.0,0.0,95.9
Kuwait,51,66.0,33,5.0,9.0,4.0,2.0,6.0,7.0,88.4
Kyrgyz Republic,128,40.0,20,7.0,5.0,8.0,0.0,0.0,0.0,93
Lao PDR,179,20.0,10,6.0,1.0,3.0,0.0,0.0,0.0,62.7
Latvia,45,68.0,34,5.0,4.0,9.0,5.0,5.0,6.0,94.1
Lebanon,114,44.0,22,9.0,1.0,5.0,3.0,1.0,3.0,78.2
Lesotho,147,32.0,16,3.0,4.0,9.0,0.0,0.0,0.0,88.2
Liberia,176,22.0,11,4.0,1.0,6.0,0.0,0.0,0.0,88.9
Libya,183,18.0,9,4.0,1.0,4.0,0.0,0.0,0.0,73.1
Liechtenstein*,,30.0,15,2.0,8.0,5.0,0.0,0.0,0.0,73
Lithuania,37,70.0,35,7.0,4.0,7.0,4.0,6.0,7.0,93.3
Luxembourg,97,54.0,27,6.0,5.0,4.0,4.0,2.0,6.0,88.8
Madagascar,140,36.0,18,7.0,6.0,5.0,0.0,0.0,0.0,88.5
Malawi,79,58.0,29,4.0,7.0,7.0,5.0,2.0,4.0,77.9
Malaysia,2,88.0,44,10.0,9.0,8.0,5.0,6.0,6.0,83.3
Maldives,147,32.0,16,0.0,8.0,8.0,0.0,0.0,0.0,89.2
Mali,120,42.0,21,7.0,1.0,5.0,4.0,2.0,2.0,84.3
Malta,51,66.0,33,3.0,6.0,8.0,6.0,4.0,6.0,88.2
Marshall Islands,179,20.0,10,2.0,0.0,8.0,0.0,0.0,0.0,88.4
Mauritania,147,32.0,16,6.0,3.0,7.0,0.0,0.0,0.0,92.2
Mauritius,18,78.0,39,7.0,8.0,9.0,5.0,5.0,5.0,94.5
Mexico,61,62.0,31,8.0,5.0,5.0,5.0,5.0,3.0,86.1
"Micronesia, Fed. Sts.",185,16.0,8,0.0,0.0,8.0,0.0,0.0,0.0,69.6
Moldova,45,68.0,34,7.0,4.0,8.0,5.0,4.0,6.0,95.7
Mongolia,25,74.0,37,6.0,8.0,8.0,2.0,6.0,7.0,86.7
Montenegro,61,62.0,31,5.0,8.0,6.0,3.0,3.0,6.0,86.7
Morocco,37,70.0,35,9.0,2.0,7.0,6.0,5.0,6.0,93
Mozambique,147,32.0,16,5.0,4.0,7.0,0.0,0.0,0.0,69.3
Myanmar,176,22.0,11,4.0,4.0,3.0,0.0,0.0,0.0,89.3
Namibia,88,56.0,28,5.0,5.0,6.0,3.0,3.0,6.0,72.2
Nepal,79,58.0,29,6.0,1.0,9.0,5.0,4.0,4.0,81.7
Netherlands,79,58.0,29,4.0,4.0,6.0,5.0,5.0,5.0,94.3
New Zealand,3,86.0,43,10.0,9.0,9.0,5.0,5.0,5.0,100
Nicaragua,170,24.0,12,1.0,5.0,6.0,0.0,0.0,0.0,79.6
Niger,120,42.0,21,7.0,1.0,5.0,4.0,2.0,2.0,91.5
Nigeria,28,72.0,36,7.0,7.0,7.0,4.0,5.0,6.0,86.2
North Macedonia,12,82,41,10,9,5,5,6,6,88.6
Norway,21,76.0,38,7.0,5.0,8.0,5.0,6.0,7.0,94.3
Oman,88,56.0,28,8.0,5.0,3.0,4.0,5.0,3.0,93.5
Pakistan,28,72.0,36,6.0,7.0,6.0,5.0,7.0,5.0,89.3
Palau,188,14.0,7,0.0,0.0,7.0,0.0,0.0,0.0,82.1
Panama,88,56.0,28,4.0,4.0,8.0,6.0,1.0,5.0,92
Papua New Guinea,72,60.0,30,5.0,5.0,9.0,6.0,2.0,3.0,80.1
Paraguay,143,34.0,17,6.0,5.0,6.0,0.0,0.0,0.0,76
Peru,45,68.0,34,9.0,6.0,6.0,6.0,2.0,5.0,82.1
Philippines,72,60.0,30,9.0,4.0,7.0,1.0,5.0,4.0,71.3
Poland,51,66.0,33,7.0,2.0,9.0,5.0,4.0,6.0,82.9
Portugal,61,62.0,31,6.0,5.0,7.0,3.0,4.0,6.0,90.9
Puerto Rico,88,56.0,28,7.0,6.0,8.0,1.0,1.0,5.0,91.2
Qatar,157,28.0,14,2.0,2.0,2.0,3.0,2.0,3.0,86.1
Romania,61,62.0,31,9.0,4.0,5.0,5.0,3.0,5.0,87.7
Russian Federation,72,60.0,30,6.0,2.0,7.0,5.0,4.0,6.0,93.1
Rwanda,114,44.0,22,8.0,9.0,5.0,0.0,0.0,0.0,93.2
Samoa,128,40.0,20,5.0,6.0,9.0,0.0,0.0,0.0,92.6
San Marino,162,26.0,13,3.0,2.0,8.0,0.0,0.0,0.0,87.3
São Tomé and Príncipe,179,20.0,10,3.0,1.0,6.0,0.0,0.0,0.0,78.2
Saudi Arabia,3,86.0,43,9.0,9.0,7.0,5.0,6.0,7.0,93.1
Senegal,114,44.0,22,7.0,1.0,6.0,4.0,2.0,2.0,91.2
Serbia,37,70.0,35,6.0,6.0,5.0,5.0,7.0,6.0,89.3
Seychelles,143,34.0,17,4.0,8.0,5.0,0.0,0.0,0.0,78.8
Sierra Leone,128,40.0,20,6.0,8.0,6.0,0.0,0.0,0.0,91.3
Singapore,3,86.0,43,10.0,9.0,9.0,5.0,5.0,5.0,98.2
Slovak Republic,88,56.0,28,3.0,4.0,7.0,5.0,5.0,4.0,84.8
Slovenia,18,78.0,39,5.0,9.0,8.0,6.0,6.0,5.0,93
Solomon Islands,136,38.0,19,3.0,7.0,9.0,0.0,0.0,0.0,85.6
Somalia,190,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46
South Africa,13,80.0,40,8.0,8.0,8.0,5.0,6.0,5.0,81.2
South Sudan,185,16.0,8,2.0,1.0,5.0,0.0,0.0,0.0,71
Spain,28,72.0,36,7.0,6.0,6.0,6.0,5.0,6.0,86.9
Sri Lanka,28,72.0,36,8.0,5.0,7.0,5.0,6.0,5.0,88.2
St. Kitts and Nevis,103,52.0,26,4.0,8.0,8.0,3.0,1.0,2.0,85.9
St. Lucia,79,58.0,29,4.0,8.0,8.0,3.0,4.0,2.0,89.4
St. Vincent and the Grenadines,79,58.0,29,4.0,8.0,8.0,3.0,4.0,2.0,87
