date_time,"san+francisco,ca_maxtempC","san+francisco,ca_mintempC","san+francisco,ca_totalSnow_cm","san+francisco,ca_sunHour","san+francisco,ca_uvIndex","san+francisco,ca_uvIndex","san+francisco,ca_moon_illumination","san+francisco,ca_moonrise","san+francisco,ca_moonset","san+francisco,ca_sunrise","san+francisco,ca_sunset","san+francisco,ca_DewPointC","san+francisco,ca_FeelsLikeC","san+francisco,ca_HeatIndexC","san+francisco,ca_WindChillC","san+francisco,ca_WindGustKmph","san+francisco,ca_cloudcover","san+francisco,ca_humidity","san+francisco,ca_precipMM","san+francisco,ca_pressure","san+francisco,ca_tempC","san+francisco,ca_visibility","san+francisco,ca_winddirDegree","san+francisco,ca_windspeedKmph"
2018-12-11 00:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,11,12,11,11,6,86,0.0,1022,10,10,329,8
2018-12-11 03:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,12,12,12,2,3,86,0.0,1022,9,10,352,2
2018-12-11 06:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,14,13,14,5,0,83,0.0,1022,8,10,22,4
2018-12-11 09:00:00,13,8,0.0,8.7,4,3,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,8,11,11,11,1,8,79,0.0,1023,10,10,253,1
2018-12-11 12:00:00,13,8,0.0,8.7,4,4,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,8,15,15,15,4,7,62,0.0,1022,13,10,277,4
2018-12-11 15:00:00,13,8,0.0,8.7,4,4,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,8,14,14,14,7,25,66,0.0,1021,13,10,260,5
2018-12-11 18:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,14,14,14,7,7,78,0.0,1022,12,10,285,5
2018-12-11 21:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,11,13,13,13,4,15,87,0.0,1023,12,10,256,3
2018-12-12 00:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,12,12,13,12,10,48,93,0.0,1023,12,10,289,7
2018-12-12 03:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,11,12,12,12,3,58,94,0.0,1024,12,2,209,2
2018-12-12 06:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,10,11,12,11,16,34,91,0.0,1024,11,10,22,11
2018-12-12 09:00:00,15,11,0.0,8.7,4,4,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,8,12,13,12,12,5,74,0.0,1025,12,10,32,10
2018-12-12 12:00:00,15,11,0.0,8.7,4,5,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,6,16,16,16,15,5,52,0.0,1024,15,10,5,13
2018-12-12 15:00:00,15,11,0.0,8.7,4,4,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,8,16,16,16,11,15,61,0.0,1024,15,10,293,8
2018-12-12 18:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,9,14,14,14,3,8,70,0.0,1025,13,10,295,2
2018-12-12 21:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,7,13,13,13,9,10,66,0.0,1026,12,10,138,5
2018-12-13 00:00:00,15,10,0.0,8.7,4,0,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,5,13,13,13,6,12,61,0.0,1026,11,10,100,4
2018-12-13 03:00:00,15,10,0.0,8.7,4,0,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,4,13,12,13,7,6,56,0.0,1025,10,10,74,5
2018-12-13 06:00:00,15,10,0.0,8.7,4,0,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,3,12,13,12,11,1,53,0.0,1025,10,10,52,9
2018-12-13 09:00:00,15,10,0.0,8.7,4,4,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,4,13,14,13,7,9,53,0.0,1025,12,10,63,6
2018-12-13 12:00:00,15,10,0.0,8.7,4,4,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,6,16,16,16,15,0,49,0.0,1023,15,10,59,13
2018-12-13 15:00:00,15,10,0.0,8.7,4,4,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,9,17,17,17,10,0,60,0.0,1021,14,10,86,9
2018-12-13 18:00:00,15,10,0.0,8.7,4,0,36,11:49 AM,10:49 PM,07:17 AM,04:51 PM,7,13,13,13,12,3,66,0.0,1021,12,10,75,9
