date_time,"springfield,il_maxtempC","springfield,il_mintempC","springfield,il_totalSnow_cm","springfield,il_sunHour","springfield,il_uvIndex","springfield,il_uvIndex","springfield,il_moon_illumination","springfield,il_moonrise","springfield,il_moonset","springfield,il_sunrise","springfield,il_sunset","springfield,il_DewPointC","springfield,il_FeelsLikeC","springfield,il_HeatIndexC","springfield,il_WindChillC","springfield,il_WindGustKmph","springfield,il_cloudcover","springfield,il_humidity","springfield,il_precipMM","springfield,il_pressure","springfield,il_tempC","springfield,il_visibility","springfield,il_winddirDegree","springfield,il_windspeedKmph"
2018-12-11 00:00:00,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-6,-8,-3,-8,31,33,76,0.0,1024,-3,10,211,15
2018-12-11 03:00:00,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-6,-8,-3,-8,29,20,78,0.0,1023,-3,10,228,14
2018-12-11 06:00:00,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-5,-8,-2,-8,37,16,81,0.0,1023,-2,10,231,18
2018-12-11 09:00:00,5,-3,0.0,8.7,2,2,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-4,-5,0,-5,29,15,77,0.0,1022,0,10,236,18
2018-12-11 12:00:00,5,-3,0.0,8.7,2,2,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-1,2,5,2,21,7,67,0.0,1020,5,10,245,15
2018-12-11 15:00:00,5,-3,0.0,8.7,2,2,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,0,2,5,2,20,4,72,0.0,1018,5,10,204,11
2018-12-11 18:00:00,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-2,0,3,0,30,6,70,0.0,1017,3,10,183,14
2018-12-11 21:00:00,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-2,-1,3,-1,36,34,69,0.0,1016,3,10,186,17
2018-12-12 00:00:00,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,1,0,5,0,44,100,76,0.0,1014,5,10,189,23
2018-12-12 03:00:00,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,1,0,4,0,44,11,80,0.0,1012,4,10,193,24
2018-12-12 06:00:00,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,0,-1,4,-1,40,3,79,0.0,1011,4,10,210,20
2018-12-12 09:00:00,7,2,0.0,8.7,1,2,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,-1,-3,2,-3,34,8,79,0.0,1012,2,10,253,22
2018-12-12 12:00:00,7,2,0.0,8.7,1,3,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,-1,2,6,2,25,2,62,0.0,1012,6,10,251,21
2018-12-12 15:00:00,7,2,0.0,8.7,1,3,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,0,4,7,4,22,2,63,0.0,1012,7,10,258,16
2018-12-12 18:00:00,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,0,1,3,1,11,4,82,0.0,1014,3,10,263,5
2018-12-12 21:00:00,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,0,2,2,2,6,8,83,0.0,1015,2,10,62,3
2018-12-13 00:00:00,6,1,0.0,3.5,2,0,36,11:38 AM,10:29 PM,07:11 AM,04:34 PM,-2,-2,2,-2,29,16,77,0.0,1015,2,10,106,14
2018-12-13 03:00:00,6,1,0.0,3.5,2,0,36,11:38 AM,10:29 PM,07:11 AM,04:34 PM,-2,-2,1,-2,26,5,81,0.0,1016,1,10,114,13
