date_time,"springfield,ma_maxtempC","springfield,ma_mintempC","springfield,ma_totalSnow_cm","springfield,ma_sunHour","springfield,ma_uvIndex","springfield,ma_uvIndex","springfield,ma_moon_illumination","springfield,ma_moonrise","springfield,ma_moonset","springfield,ma_sunrise","springfield,ma_sunset","springfield,ma_DewPointC","springfield,ma_FeelsLikeC","springfield,ma_HeatIndexC","springfield,ma_WindChillC","springfield,ma_WindGustKmph","springfield,ma_cloudcover","springfield,ma_humidity","springfield,ma_precipMM","springfield,ma_pressure","springfield,ma_tempC","springfield,ma_visibility","springfield,ma_winddirDegree","springfield,ma_windspeedKmph"
2018-12-11 00:00:00,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-5,-1,-1,-1,3,0,72,0.0,1023,-5,10,18,3
2018-12-11 03:00:00,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-8,-3,-3,-3,1,3,70,0.0,1023,-5,10,132,1
2018-12-11 06:00:00,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-9,-5,-5,-5,2,3,69,0.0,1023,-7,10,4,2
2018-12-11 09:00:00,1,-7,0.0,8.7,2,2,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-10,0,0,0,1,6,48,0.0,1021,-1,10,187,1
2018-12-11 12:00:00,1,-7,0.0,8.7,2,2,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-9,-0,2,-0,8,2,45,0.0,1018,1,10,202,7
2018-12-11 15:00:00,1,-7,0.0,8.7,2,2,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-6,-2,-0,-2,7,6,63,0.0,1016,-1,10,185,5
2018-12-11 18:00:00,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-6,-2,-2,-2,5,71,73,0.0,1016,-3,10,344,3
2018-12-11 21:00:00,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-9,-5,-2,-5,10,71,62,0.0,1015,-3,10,334,6
2018-12-12 00:00:00,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-8,-7,-4,-7,11,27,70,0.0,1014,-4,10,323,7
2018-12-12 03:00:00,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-7,-8,-4,-8,15,27,79,0.0,1015,-4,10,311,10
2018-12-12 06:00:00,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-6,-6,-3,-6,13,18,84,0.0,1017,-4,10,295,8
2018-12-12 09:00:00,1,-5,0.0,8.7,2,2,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-9,-5,-0,-5,19,10,53,0.0,1019,-0,10,331,15
2018-12-12 12:00:00,1,-5,0.0,8.7,2,2,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-9,-2,1,-2,16,43,47,0.0,1019,1,10,319,13
2018-12-12 15:00:00,1,-5,0.0,8.7,2,2,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-7,-2,0,-2,9,2,57,0.0,1021,-1,10,321,7
2018-12-12 18:00:00,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-10,-6,-3,-6,13,84,61,0.0,1024,-3,10,4,8
2018-12-12 21:00:00,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-12,-7,-4,-7,10,56,54,0.0,1026,-5,10,40,6
2018-12-13 00:00:00,-2,-7,0.0,5.2,2,0,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-17,-8,-5,-8,8,9,39,0.0,1028,-6,10,46,7
2018-12-13 03:00:00,-2,-7,0.0,5.2,2,0,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-16,-8,-5,-8,8,50,41,0.0,1030,-6,10,76,6
2018-12-13 06:00:00,-2,-7,0.0,5.2,2,0,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-15,-9,-7,-9,6,72,52,0.0,1032,-7,10,50,5
2018-12-13 09:00:00,-2,-7,0.0,5.2,2,2,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-12,-6,-3,-6,8,31,48,0.0,1032,-3,10,93,7
2018-12-13 12:00:00,-2,-7,0.0,5.2,2,1,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-10,-3,-2,-3,4,100,54,0.0,1033,-3,10,96,4
2018-12-13 15:00:00,-2,-7,0.0,5.2,2,1,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-8,-4,-2,-4,6,100,66,0.0,1033,-2,10,100,5
2018-12-13 18:00:00,-2,-7,0.0,5.2,2,0,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-9,-4,-3,-4,5,94,66,0.0,1034,-3,10,28,3
2018-12-13 21:00:00,-2,-7,0.0,5.2,2,0,36,11:32 AM,10:15 PM,07:10 AM,04:19 PM,-8,-2,-2,-2,4,86,66,0.0,1034,-2,10,85,3
2018-12-14 00:00:00,5,-3,0.0,6.9,1,0,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,-6,-2,-2,-2,2,88,71,0.0,1035,-2,10,44,1
2018-12-14 03:00:00,5,-3,0.0,6.9,1,0,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,-5,-3,-3,-3,5,29,85,0.0,1033,-3,10,120,3
2018-12-14 06:00:00,5,-3,0.0,6.9,1,0,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,-4,-3,-3,-3,5,49,92,0.0,1033,-3,10,170,3
2018-12-14 09:00:00,5,-3,0.0,6.9,1,2,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,-1,-0,2,-0,10,49,76,0.0,1032,2,10,172,8
2018-12-14 12:00:00,5,-3,0.0,6.9,1,3,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,1,3,5,3,14,38,71,0.0,1029,5,10,174,10
2018-12-14 15:00:00,5,-3,0.0,6.9,1,1,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,1,0,3,0,16,69,92,0.0,1028,2,10,166,8
2018-12-14 18:00:00,5,-3,0.0,6.9,1,0,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,2,0,2,0,15,100,97,0.0,1027,2,0,171,7
2018-12-14 21:00:00,5,-3,0.0,6.9,1,0,43,12:01 PM,11:14 PM,07:11 AM,04:19 PM,4,1,4,1,19,100,98,0.0,1025,4,0,196,10
2018-12-15 00:00:00,9,2,0.0,8.7,2,0,51,12:27 PM,No moonset,07:12 AM,04:19 PM,5,2,5,2,23,100,97,0.0,1023,5,0,212,12
2018-12-15 03:00:00,9,2,0.0,8.7,2,0,51,12:27 PM,No moonset,07:12 AM,04:19 PM,4,3,5,3,19,78,94,0.0,1022,5,2,224,9
2018-12-15 06:00:00,9,2,0.0,8.7,2,0,51,12:27 PM,No moonset,07:12 AM,04:19 PM,4,4,5,4,8,77,96,0.0,1022,4,2,181,4
2018-12-15 09:00:00,9,2,0.0,8.7,2,3,51,12:27 PM,No moonset,07:12 AM,04:19 PM,6,8,8,8,3,18,87,0.0,1022,7,10,351,2
